exp_id,article_id,time,page_id,user,sentence_id,word,word_understand,sentence_understand,mind_wandering,reading_times,number_of_fixations,fixation_duration,fixation_duration_div_syllable,fixation_duration_div_length,fixation_duration_diff,number_of_fixations_diff,reading_times_diff
1181,22,0,2016,qxy,4,their,1,1,1,0,0,0,0.0,0.0,-318,-1,-1
1181,22,0,2016,qxy,4,degree,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,4,won’t,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,4,define,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,4,them,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,4,in,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,4,the,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,4,same,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,4,way,1,1,1,0,0,0,0.0,0.0,0,0,0
1182,38,0,2017,qxy,0,Hurricane,1,1,1,1,1,606,202.0,67.33333333333333,0,0,0
1182,38,0,2017,qxy,0,Fiona,1,1,1,0,0,0,0.0,0.0,-606,-1,-1
1182,38,0,2017,qxy,0,has,1,1,1,0,0,0,0.0,0.0,0,0,0
1182,38,0,2017,qxy,0,strengthened,1,1,1,1,2,722,361.0,60.166666666666664,722,2,1
1182,38,0,2017,qxy,0,as,1,1,1,0,0,0,0.0,0.0,-722,-2,-1
1182,38,0,2017,qxy,0,it,1,1,1,0,0,0,0.0,0.0,0,0,0
1182,38,0,2017,qxy,0,moves,1,1,1,1,1,247,247.0,49.4,247,1,1
1182,38,0,2017,qxy,0,across,1,1,1,1,2,452,452.0,75.33333333333333,205,1,0
1182,38,0,2017,qxy,0,the,1,1,1,0,0,0,0.0,0.0,-452,-2,-1
1182,38,0,2017,qxy,0,Dominican,1,1,1,1,2,428,142.66666666666666,47.55555555555556,428,2,1
1182,38,0,2017,qxy,0,Republic,1,1,1,0,0,0,0.0,0.0,-428,-2,-1
1182,38,0,2017,qxy,0,bringing,1,1,1,1,3,766,383.0,95.75,766,3,1
1182,38,0,2017,qxy,0,torrential,0,1,1,1,1,213,71.0,21.3,-553,-2,0
1182,38,0,2017,qxy,0,rain,1,1,1,0,0,0,0.0,0.0,-213,-1,-1
1182,38,0,2017,qxy,0,and,1,1,1,0,0,0,0.0,0.0,0,0,0
1182,38,0,2017,qxy,0,powerful,1,1,1,1,1,241,80.33333333333333,30.125,241,1,1
1182,38,0,2017,qxy,0,winds,1,1,1,0,0,0,0.0,0.0,-241,-1,-1
1182,38,0,2017,qxy,0,of,1,1,1,1,1,415,415.0,207.5,415,1,1
1182,38,0,2017,qxy,0,170,1,1,1,0,0,0,0.0,0.0,-415,-1,-1
1182,38,0,2017,qxy,0,kilometres,1,1,1,1,1,202,67.33333333333333,20.2,202,1,1
1182,38,0,2017,qxy,0,an,1,1,1,0,0,0,0.0,0.0,-202,-1,-1
1182,38,0,2017,qxy,0,hour,1,1,1,0,0,0,0.0,0.0,0,0,0
1182,38,0,2017,qxy,1,The,1,1,1,0,0,0,0.0,0.0,0,0,0
1182,38,0,2017,qxy,1,president,1,1,1,1,3,732,244.0,81.33333333333333,732,3,1
1182,38,0,2017,qxy,1,Luis,1,1,1,0,0,0,0.0,0.0,-732,-3,-1
1182,38,0,2017,qxy,1,Abinader,1,1,1,2,2,544,181.33333333333334,68.0,544,2,2
1182,38,0,2017,qxy,1,said,1,1,1,0,0,0,0.0,0.0,-544,-2,-2
1182,38,0,2017,qxy,1,the,1,1,1,1,1,212,212.0,70.66666666666667,212,1,1
1182,38,0,2017,qxy,1,damage,1,1,1,1,2,732,366.0,122.0,520,1,0
1182,38,0,2017,qxy,1,was,1,1,1,1,1,276,276.0,92.0,-456,-1,0
1182,38,0,2017,qxy,1,considerable,0,1,1,1,2,955,238.75,79.58333333333333,679,1,0
1182,38,0,2017,qxy,1,and,1,1,1,0,0,0,0.0,0.0,-955,-2,-1
1182,38,0,2017,qxy,1,declared,1,1,1,2,3,1296,648.0,162.0,1296,3,2
1182,38,0,2017,qxy,1,three,1,1,1,0,0,0,0.0,0.0,-1296,-3,-2
1182,38,0,2017,qxy,1,eastern,1,1,1,1,1,267,133.5,38.142857142857146,267,1,1
1182,38,0,2017,qxy,1,provinces,1,1,1,1,1,271,135.5,30.11111111111111,4,0,0
1182,38,0,2017,qxy,1,to,1,1,1,0,0,0,0.0,0.0,-271,-1,-1
1182,38,0,2017,qxy,1,be,1,1,1,1,1,234,234.0,117.0,234,1,1
1182,38,0,2017,qxy,1,disaster,1,1,1,1,1,374,124.66666666666667,46.75,140,0,0
1182,38,0,2017,qxy,1,zones,1,1,1,0,0,0,0.0,0.0,-374,-1,-1
1182,38,0,2017,qxy,2,The,1,1,1,1,1,241,241.0,80.33333333333333,241,1,1
1182,38,0,2017,qxy,2,hurricane,1,1,1,1,2,858,286.0,95.33333333333333,617,1,0
1182,38,0,2017,qxy,2,caused,1,1,1,1,2,687,687.0,114.5,-171,0,0
1182,38,0,2017,qxy,2,severe,1,1,1,0,0,0,0.0,0.0,-687,-2,-1
1182,38,0,2017,qxy,2,flooding,1,1,1,1,1,201,100.5,25.125,201,1,1
1182,38,0,2017,qxy,2,with,1,1,1,2,2,702,702.0,175.5,501,1,1
1182,38,0,2017,qxy,2,hundreds,1,1,1,2,2,1602,801.0,200.25,900,0,0
1182,38,0,2017,qxy,2,of,1,1,1,1,1,354,354.0,177.0,-1248,-1,-1
1182,38,0,2017,qxy,2,people,1,1,1,1,1,202,101.0,33.666666666666664,-152,0,0
1182,38,0,2017,qxy,2,being,1,1,1,0,0,0,0.0,0.0,-202,-1,-1
1182,38,0,2017,qxy,2,evacuated,0,1,1,1,2,1220,305.0,135.55555555555554,1220,2,1
1182,38,0,2017,qxy,2,to,1,1,1,0,0,0,0.0,0.0,-1220,-2,-1
